Name,Version,Operation,Topic,Doc,Description,Environment,Galaxy,Workflow
"ARB","6.0.6-conda","sequence-similarity-search","Sequence analysis,Phylogeny","http://arb-home.de","The ARB software is a graphically oriented package comprising various tools for sequence database handling and data analysis. A central database of processed (aligned) sequences and any type of additional data linked to the respective sequence entries is structured according to phylogeny or other user defined criteria","conda","false","false"
"ARCS","1.2.4-conda,1.0.5-conda","genome-assembly","Genomics,Sequence assembly","https://github.com/bcgsc/ARCS/","Scaffolding genome assemblies using 10X Genomics Chromium data or stLFR linked reads","conda","false","false"
"Aria2","1.36.0-conda","data-handling","Bioinformatics","http://aria2.github.io/","The lightweight multi-protocol & multi-source command-line download utility.","conda","false","false"
"ARIBA","2.14.6-conda","sequence-clustering,gene-prediction","Gene and protein families","https://github.com/sanger-pathogens/ariba","Antimicrobial Resistance Identification By Assembly","conda","false","false"
"ARLSUMSTAT","3.5.2-shell","statistics-and-probability","Population genetics","http://cmpg.unibe.ch/software/arlequin35/man/arlsumstat_readme.txt","modified version of Arlequin for computing summary statistics","shell","false","false"
"ARTIC","1.2.1-conda","sequence-alignment","Genomics","https://github.com/artic-network/fieldbioinformatics","A bioinformatics pipeline for working with virus sequencing data sequenced with nanopore","conda","false","false"
"ibm-aspera-connect","3.10.0-singularity","data-handling","Bioinformatics","https://www.ibm.com/support/knowledgecenter/SSXMX3_3.10/connect_user_linux/guide.html","Enable high-speed FASP transfers","singularity","false","false"
"AUGUSTUS","3.3-conda","operation,homology-based-gene-prediction,ab-initio-gene-prediction,gene-prediction","Gene transcripts,Gene and protein families","http://bioinf.uni-greifswald.de/augustus","AUGUSTUS is a eukaryotic gene prediction tool. It can integrate evidence, e.g. from RNA-Seq, ESTs, proteomics, but can also predict genes ab initio. The PPX extension to AUGUSTUS can take a protein sequence multiple sequence alignment as input to find new members of the family in a genome. It can be run through a web interface (see https://bio.tools/webaugustus), or downloaded and run locally.","conda","false","false"
"Autometa","2.0.3-conda","read-binning","Metagenomics","https://github.com/KwanLab/Autometa","An automated binning pipeline for single metagenomes, in particular host-associated and highly complex ones.","conda","false","false"
"AWS-Cli","v2-shell","data-handling","Bioinformatics","https://docs.aws.amazon.com/cli/latest/userguide/cli-chap-welcome.html","Amazon Web Service Client","shell","false","false"
"BA3-SNPS-autotune","2.1.2-singularity","population-genomics","Population genetics","https://github.com/stevemussmann/BA3-SNPS-autotune","This program will automatically tune mixing parameters for BA3-SNPs by implementing a binary search algorithm and conducting short exploratory runs of BA3-SNPS.","singularity","false","false"
"bakta","1.5.1-conda,1.5-conda","genome-annotation","Genomics,Sequence analysis,Data submission, annotation and curation","https://github.com/oschwengers/bakta","Rapid & standardized annotation of bacterial genomes & plasmids","conda","false","false"
"Bam","0.5.1-conda","data-handling","Bioinformatics","https://matricks.github.io/bam/bam.html","Bam is a build system with the focus on being having fast build times and flexiable build scripts","conda","false","false"
"bam2fastq","1.1.0-conda","formatting","Sequence analysis,Data management,Sequencing","https://gsl.hudsonalpha.org/information/software/bam2fastq","Extract reads from a bam file and write them in fastq format.","conda","false","false"
"bam2fastx","1.3.1-conda,1.3.0-conda","data-handling","Bioinformatics","https://github.com/PacificBiosciences/bam2fastx","Conversion of PacBio BAM files into gzipped fasta and fastq files, including splitting of barcoded data","conda","false","false"
"BamTools","2.5.1-conda","data-handling","Data management,Sequence analysis,Sequencing","https://github.com/pezmaster31/bamtools","BamTools provides a fast, flexible C++ API & toolkit for reading, writing, and managing BAM files.","conda","false","false"
"bamUtil","1.0.14-conda","data-handling","Data management","http://genome.sph.umich.edu/wiki/BamUtil","Bamutil provides a serie of programs to work on SAM/BAM files.","conda","false","false"
"Bandage","0.8.1-conda","sequence-assembly-visualisation","Genomics,Sequence assembly","https://rrwick.github.io/Bandage/","GUI program that allows users to interact with the assembly graphs made by de novo assemblers such as Velvet, SPAdes, MEGAHIT and others. It visualises assembly graphs, with connections, using graph layout algorithms.","conda","true","false"
"barrnap","0.9-conda","gene-prediction","Model organisms,Genomics","https://github.com/tseemann/barrnap","Predict the location of ribosomal RNA genes in genomes. It supports bacteria (5S,23S,16S), archaea (5S,5.8S,23S,16S), mitochondria (12S,16S) and eukaryotes (5S,5.8S,28S,18S).","conda","true","false"
"BaseSpace CLI","1.0.0-shell","data-handling","Bioinformatics","https://developer.basespace.illumina.com/docs/content/documentation/cli/cli-overview","scripting and programmatic access to Illumina BaseSpace Sequence Hub","shell","false","false"
"batiscaf","1eddb25-conda","scaffolding","Sequence assembly","https://github.com/mandricigor/batiscaf","BATISCAF is a novel repeat aware scaffolding tool","conda","false","false"
"baypass","2.3-conda","genetic-variation-analysis","Genomics,Genetics,Biomarkers,Population genomics","http://www1.montpellier.inra.fr/CBGP/software/baypass/index.html","This package is a population genomics software which is primarily aimed at identifying genetic markers subjected to selection and/or associated to population-specific covariates (e.g., environmental variables, quantitative or categorical phenotypic characteristics).","conda","false","false"
"cutadapt","38.57-conda,1.18-conda","sequence-trimming","Genomics,Probes and primers,Sequencing","https://pypi.python.org/pypi/cutadapt","Find and remove adapter sequences, primers, poly-A tails and other types of unwanted sequence from your high-throughput sequencing reads.","conda","true","false"
"bbtools","34.62-conda","data-handling","Bioinformatics","https://jgi.doe.gov/data-and-tools/bbtools/","BBMap short read aligner, and other bioinformatic tools (reads filter, reads merge, sequences converter) ","conda","false","false"
"BCFtools","1.4.1-conda,1.16-conda,1.13-conda,1.10.2-conda","data-handling","DNA polymorphism,Genetic variation,GWAS study,Genotyping experiment","http://www.htslib.org/","BCFtools is a set of utilities that manipulate variant calls in the Variant Call Format (VCF) and its binary counterpart BCF. All commands work transparently with both VCFs and BCFs, both uncompressed and BGZF-compressed.","conda","true","false"
"Beagle","4.0_06Jun17-conda","phasing","Population genetics","https://faculty.washington.edu/browning/beagle/beagle.html","Beagle is a software package that performs genotype calling, genotype phasing, imputation of ungenotyped markers, and identity-by-descent segment detection.","conda","false","false"
"BEAST","1.10.4-conda","multiple-sequence-alignment","Phylogenetics,Sequence analysis","http://beast.bio.ed.ac.uk/","The Bayesian Evolutionary Analysis Sampling Trees is a cross-platform program for Bayesian analysis of molecular sequences using MCMC (Markov chain Monte Carlo). It is entirely orientated towards rooted, time-measured phylogenies inferred using strict or relaxed molecular clock models. It can be used as a method of reconstructing phylogenies but is also a framework for testing evolutionary hypotheses without conditioning on a single tree topology.","conda","false","false"
"beast2","2.6.3-conda","phylogenetic-tree-reconstruction","Phylogenetics,Phylogenomics","http://www.beast2.org","Bayesian phylogenetic analysis of molecular sequences. It estimates rooted, time-measured phylogenies using strict or relaxed molecular clock models. It can be used as a method of reconstructing phylogenies but is also a framework for testing evolutionary hypotheses without conditioning on a single tree topology. It uses Markov chain Monte Carlo (MCMC) to average over tree space, so that each tree is weighted proportional to its posterior probability. It includes a graphical user-interface for setting up standard analyses and a suit of programs for analysing the results.","conda","false","false"
"BEDOPS","2.4.38-conda","sequence-annotation","Nucleic acids,Sequence sites, features and motifs","https://bedops.readthedocs.io/en/latest/","BEDOPS is an open-source command-line toolkit that performs efficient and scalable Boolean and other set operations, statistical calculations, archiving, conversion and other management of genomic data of arbitrary scale. Tasks can be easily split by chromosome for distributing whole-genome analyses across a computational cluster.","conda","false","false"
"bedtools","2.30.0-conda,2.27.1-conda,2.26.0-conda","mapping","Genomics","https://github.com/arq5x/bedtools2","BEDTools is an extensive suite of utilities for comparing genomic features in BED format.","conda","false","false"
"BeeDeeM-Tools","2.1.0-shell,2.0.1-shell,2.0.0-shell","data-handling","Biological databases","https://gitlab.ifremer.fr/bioinfo/BeeDeeM-Tools/blob/master/documentation/tutorial.md","sequence-based data analysis pipeline tools","shell","false","false"
"BeeDeeM","4.7.0-singularity","database-management","Biological databases","https://github.com/pgdurand/BeeDeeM/wiki","a Bioinformatics Databank Manager System","singularity","false","false"
"Bellerophon","1.0-conda","de-novo-assembly","Workflows,Transcriptomics,Sequence assembly,RNA-Seq","https://github.com/JesseKerkvliet/Bellerophon","The Bellerophon pipeline, improving de novo transcriptomes and removing chimeras.","conda","true","false"
"best","0.1.0-conda","sequence-alignment-validation","Sequence analysis,Bioinformatics","https://github.com/google/best","Bam Error Stats Tool (best): analysis of error types in aligned reads.","conda","false","false"
"BiG-SCAPE / CORASON","1.1.4-conda","sequence-clustering","Phylogeny","https://bigscape-corason.secondarymetabolites.org/tutorial/index.html","BiG-SCAPE and CORASON provide a set of tools to explore the diversity of biosynthetic gene clusters (BGCs) across large numbers of genomes, by constructing BGC sequence similarity networks, grouping BGCs into gene cluster families, and exploring gene cluster diversity linked to enzyme phylogenies.","conda","false","false"
"Bioawk","1.0-conda","data-handling","Bioinformatics","https://github.com/lh3/bioawk","Extension to Brian Kernighan's awk, adding the support of several common biological data formats","conda","false","false"
"bioconductor-chromstaR","1.8.1-conda","chip-seq","Epigenetics","https://bioconductor.org/packages/3.8/bioc/html/chromstaR.html","Combinatorial and Differential Chromatin State Analysis for ChIP-Seq Data","conda","false","false"
"bioconductor-dada2","1.8.0-conda,1.6.0-conda","genetic-variation-analysis","Metagenomics","https://bioconductor.org/packages/release/bioc/html/dada2.html","Accurate, high-resolution sample inference from amplicon sequencing data","conda","false","false"
"DESeq2","1.34.0-conda,1.20.0-conda,1.14.1-conda","differential-gene-expression-analysis","Transcriptomics","http://bioconductor.org/packages/DESeq2/","R/Bioconductor package for differential gene expression analysis based on the negative binomial distribution. Estimate variance-mean dependence in count data from high-throughput sequencing assays and test for differential expression based on a model using the negative binomial distribution.","conda","true","false"
"methylKit","0.99.2-conda","methylation-analysis","Epigenetics,DNA,Methylated DNA immunoprecipitation","http://bioconductor.org/packages/release/bioc/html/methylKit.html","R package for DNA methylation analysis and annotation from high-throughput bisulfite sequencing. The package is designed to deal with sequencing data from RRBS and its variants, but also target-capture methods and whole genome bisulfite sequencing. It also has functions to analyze base-pair resolution 5hmC data from experimental protocols such as oxBS-Seq and TAB-Seq. Perl is needed to read SAM files only.","conda","true","false"
"phyloseq","1.14.2-conda","deposition","Sequence analysis,Microbiology,Metagenomics","http://bioconductor.org/packages/release/bioc/html/phyloseq.html","Provides a set of classes and tools to facilitate the import, storage, analysis, and graphical display of microbiome census data.","conda","false","false"
"bioconductor-tximport ","1.16.0-conda","data-handling","Transcriptomics","https://bioconductor.org/packages/3.11/bioc/html/tximport.html","Imports transcript-level abundance, estimated counts and transcript lengths, and summarizes into matrices for use with downstream gene-level analysis packages","conda","true","false"
"bioconvert","0.6.3-conda","Bioinformatics","data-handling","https://github.com/bioconvert/bioconvert","Bioconvert is a collaborative project to facilitate the interconversion of life science data from one format to another.","conda","false","false"
"biom-format","2.1.6-conda","conversion","Bioinformatics","http://biom-format.org/documentation/biom_conversion.html","Converting between file formats","conda","true","false"
"Bionano Solve","1.7.0-singularity","genome-assembly,de-novo-assembly,scaffolding","Sequence assembly,DNA binding sites,Mapping","https://bionanogenomics.com","Bionano Solve is a set of tools for analyzing Bionano data (generated from Saphyr and Irys).","singularity","true","false"
"Bioperl","1.7.2-conda","data-handling","Genomics,Data management,Software engineering","http://bioperl.org/","A collection of Perl modules that facilitate the development of Perl scripts for bioinformatics applications.  It provides software modules for many of the typical tasks of bioinformatics programming.","conda","false","false"
"Biopython","1.79-conda,1.78-conda,1.70-conda","deposition","Bioinformatics,Data management,Computational biology,Software engineering","http://biopython.org/","Biopython is a set of freely available tools for biological computation written in Python by an international team of developers.","conda","false","false"
"Bismark","0.23.1-conda,0.20.0-conda,0.19-conda,0.17-conda","methylation-analysis","Genomics,Epigenetics,Epigenomics","https://github.com/FelixKrueger/Bismark","Bismark is a tool to map bisulfite treated sequencing reads and perform methylation calling in a quick and easy-to-use fashion.","conda","false","false"
"BisSNP","0.82.2-docker","methylation-calling","Epigenetics","http://people.csail.mit.edu/dnaase/bissnp2011/","Bisulfite-seq/NOMe-seq SNPs & cytosine methylation caller","docker","false","false"
"BLASR","5.3.3-conda","local-alignment,mapping","Genomics,Mapping,Sequencing","https://github.com/PacificBiosciences/blasr","Software for mapping Single Molecule Sequencing (SMS) reads that are thousands of bases long, with divergence between the read and genome dominated by insertion and deletion error.","conda","false","false"
"NCBI Blast-legacy","2.2.26-shell","sequence-similarity-search","Biological databases","https://blast.ncbi.nlm.nih.gov/Blast.cgi","Basic Local Alignment Search Tool","shell","false","false"
"NCBI Blast+","2.9.0-conda,2.6.0-conda,2.2.31-conda,2.12.0-conda","sequence-similarity-search","Biological databases","https://blast.ncbi.nlm.nih.gov/Blast.cgi","Basic Local Alignment Search Tool","conda","false","false"
"BlastViewer","5.2.0-shell","sequence-similarity-search,visualisation","Biological databases","https://github.com/pgdurand/BlastViewer/wiki","A graphical workbench to analyse BLAST result files.","shell","false","false"
"BlobToolKit","1.3.6-singularity","deposition","Sequence assembly,Workflows,Zoology,Model organisms,Phylogenomics","https://blobtoolkit.genomehubs.org/view","BlobToolKit Viewer is a genome-scale dataset visualistion tool developed as part of the blobtoolkit project to allow browser-based identification and filtering of target and non-target data in genome assemblies.","singularity","false","false"
"blobtools","2.6.3-conda,1.1-conda","sequence-assembly-visualisation","Genomics,Data management,Sequence assembly","https://github.com/DRL/blobtools","Visualisation, quality control and taxonomic partitioning of genome datasets.","conda","false","false"
"blupf90","unknown-shell","analysis","Population genetics","http://nce.ads.uga.edu/html/projects/programs/","BLUPF90 family of programs is a collection of software in Fortran 90/95 for mixed model computations in animal breeding.","shell","false","false"
"bowtie2","2.4.5-conda,2.4.4-conda,2.4.1-conda,2.3.5-conda,2.3.4.3-conda,2.3.4.1-conda,2.3.0-conda","read-mapping","Genomics,Mapping","http://bowtie-bio.sourceforge.net/bowtie2/index.shtml","Bowtie 2 is an ultrafast and memory-efficient tool for aligning sequencing reads to long reference sequences. It is particularly good at aligning reads of about 50 up to 100s or 1,000s of characters, and particularly good at aligning to relatively long (e.g. mammalian) genomes. Bowtie 2 indexes the genome with an FM Index to keep its memory footprint small: for the human genome, its memory footprint is typically around 3.2 GB. Bowtie 2 supports gapped, local, and paired-end alignment modes.","conda","true","false"
"bracken","2.8-conda","statistical-calculation","Microbial ecology,Metagenomics","https://ccb.jhu.edu/software/bracken/","Statistical method that computes the abundance of species in DNA sequences from a metagenomics sample.","conda","false","false"
"BRAKER2","2.1.6-singularity,2.1.5-singularity","gene-prediction","Functional genomics","https://github.com/Gaius-Augustus/BRAKER","BRAKER is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes ","singularity","false","false"
"braker3","3.0.2-singularity","genome-annotation","RNA-Seq,Workflows,RNA","http://bioinf.uni-greifswald.de/bioinf/braker/index.html","Pipeline for unsupervised RNA-Seq-based genome annotation with GeneMark-ET and AUGUSTUS.","singularity","false","false"
"BS-SNPer","master-docker","snp-detection","DNA polymorphism,DNA,Statistics and probability","https://github.com/hellbelly/BS-Snper","An ultrafast and memory-efficient package, a program for BS-Seq variation detection from alignments in standard BAM/SAM format using approximate Bayesian modeling.","docker","false","false"
"bsmap","2.90-conda","read-mapping","Epigenetics","https://code.google.com/archive/p/bsmap/","short reads mapping software for bisulfite sequencing","conda","true","false"
"bsmapz","1.1.3-conda,1.1.1-conda","bisulfite-mapping","Epigenetics","https://github.com/zyndagj/BSMAPz","short reads mapping software for bisulfite sequencing reads","conda","true","false"
"BUSCO","5.4.3-conda,5.4.0-conda,5.2.2-conda,5.1.1-conda,5.0.0-conda,4.1.4-conda,4.1.3-conda,4.0.6-conda,4.0.4-conda,4.0.0-conda,3.0.2-conda","sequence-assembly-validation","Genomics,Transcriptomics,Sequence assembly,Sequence analysis","http://busco.ezlab.org/","Provides measures for quantitative assessment of genome assembly, gene set, and transcriptome completeness based on evolutionarily informed expectations of gene content from near-universal single-copy orthologs.","conda","false","false"
"bwa-mem2","2.2.1-conda,2.1-conda","sequence-alignment","Mapping","https://github.com/bwa-mem2/bwa-mem2","Bwa-mem2 is the next version of the bwa-mem algorithm in bwa. It produces alignment identical to bwa and is ~1.3-3.1x faster depending on the use-case,  dataset and the running machine.","conda","false","false"
"BWA","0.7.17-conda,0.7.15-conda","generation,sequence-alignment,genome-indexing,read-mapping","Mapping","http://bio-bwa.sourceforge.net","Fast, accurate, memory-efficient aligner for short and long sequencing reads","conda","true","false"
"bwa-meth","0.2.3-conda","bisulfite-mapping","Epigenetics","https://github.com/brentp/bwa-meth","Fast and accurante alignment of BS-Seq reads.","conda","false","false"
"Canu","2.2-conda,2.1.1-conda,2.0-conda,1.9-conda,1.7-conda,1.6-conda","de-novo-assembly","Genomics","https://github.com/marbl/canu","De-novo assembly tool for long read chemistry like Nanopore data and PacBio data.","conda","false","false"
"cap3","10.2011-conda","genome-assembly","Genetic variation,Sequence analysis,Sequence assembly,Sequencing","http://biosrv.cab.unina.it/webcap3/","Web-based contig assembly.","conda","false","false"
"cd-hit","4.8.1-shell","sequence-clustering","Sequencing","https://github.com/weizhongli/cdhit","Cluster a nucleotide dataset into representative sequences.","shell","true","false"
"Centrifuge","1.0.3-conda","nucleic-acid-sequence-analysis","Microbiology,Metagenomics","https://ccb.jhu.edu/software/centrifuge/","A very rapid and memory-efficient system for the classification of DNA sequences from microbial samples. The system uses a novel indexing scheme based on the Burrows-Wheeler transform and the Ferragina-Manzini index, optimized specifically for the metagenomic classification problem. Together these advances enable timely and accurate analysis of large metagenomics data sets on conventional desktop computers.","conda","false","false"
"CheckM-genome","1.1.3-conda","sequence-assembly-validation","Sequence assembly","https://ecogenomics.github.io/CheckM/","GAPPadder is designed for closing gaps on the draft genomes with paired-end reads or mate-paired reads.","conda","false","false"
"CheckM2","1.0.1-singularity","sequence-assembly-validation","Genomics","https://github.com/chklovski/CheckM2","Rapid assessment of genome bin quality using machine learning","singularity","false","false"
"CheckV","0.5.1-conda","sequence-assembly","Mapping,Sequence assembly,Metagenomics,Metagenomic sequencing","http://bitbucket.org/berkeleylab/CheckV","CheckV is a fully automated command-line pipeline for assessing the quality of single-contig viral genomes, including identification of host contamination for integrated proviruses, estimating completeness for genome fragments, and identification of closed genomes.","conda","false","false"
"chromeister","1.5.a-conda","dot-plot-plotting","Sequence analysis,Comparative genomics","https://github.com/estebanpw/chromeister","An ultra fast, heuristic approach to detect conserved signals in extremely large pairwise genome comparisons (dotplot).","conda","true","false"
"chromonomer","1.14-bash","scaffolding","Mapping,Model organisms,Evolutionary biology,Sequence assembly,Genetics","http://catchenlab.life.illinois.edu/chromonomer","Chromonomer is a program designed to integrate a genome assembly with a genetic map. Chromonomer tries very hard to identify and remove markers that are out of order in the genetic map, when considered against their local assembly order; and to identify scaffolds that have been incorrectly assembled according to the genetic map, and split those scaffolds.","bash","false","false"
"CIAlign","1.0.15-conda","sequence-alignement-analysis","Sequence analysis","https://github.com/KatyBrown/CIAlign/","A command line tool which performs various functions to clean and analyse a multiple sequence alignment (MSA)","conda","false","false"
"circos","0.69.6-conda","visualisation","Data visualisation,Comparative genomics","http://circos.ca/","Circos is tool for visualizing data in a circular format. It was developed for genomic data but can work for many other kinds of data as well.","conda","false","false"
"Clair","2.1.1-conda","genome-assembly","Sequence assembly,Epigenetics,Machine learning,Genetic variation,Molecular biology","https://github.com/HKU-BAL/Clair","Exploring the limit of using a deep neural network on pileup data for germline variant calling.","conda","false","false"
"Clair3","0.1-r4.2-conda,0.1-conda","variant-calling","Molecular genetics","https://github.com/HKU-BAL/Clair3","Clair3 is a germline small variant caller for long-reads. Clair3 makes the best of two major method categories: pileup calling handles most variant candidates with speed, and full-alignment tackles complicated candidates to maximize precision and recall. Clair3 runs fast and has superior performance, especially at lower coverage. Clair3 is simple and modular for easy deployment and integration.","conda","false","false"
"Clustal Omega","1.2.3-conda","multiple-sequence-alignment","Phylogeny","http://www.clustal.org/omega/","Multiple sequence alignement","conda","true","false"
"Clustal W","2.1-conda","multiple-sequence-alignment","Phylogeny","http://www.clustal.org/omega/","Multiple alignment of nucleic acid and protein sequences ","conda","true","false"
"CNVkit","0.9.5-conda","variant-calling","DNA structural variation","https://github.com/etal/cnvkit","CNVkit is a software toolkit to infer and visualize copy number from targeted DNA sequencing data.","conda","false","false"
"Colony","2.0.6.8-shell","genetic-variation-analysis","Population genetics","https://www.zsl.org/science/software/colony","Implements a maximum likelihood method to assign sibship and parentage jointly, using individual multilocus genotypes at a number of codominant or dominant marker loci.","shell","false","false"
"Column Maker","1.6-conda","data-handling","Bioinformatics","https://github.com/galaxyproject/tools-iuc/blob/master/tools/column_maker/column_maker.xml","A Galaxy tool to compute an expression for every row of a dataset and appends the result as a new column","conda","true","false"
"concoct","1.1.0-singularity,1.0.0-conda","read-binning","Metagenomics","https://github.com/BinPro/CONCOCT","A program for unsupervised binning of metagenomic contigs by using nucleotide composition, coverage data in multiple samples and linkage data from paired end reads.","singularity,conda","false","false"
"CONSENT","2.2.2-shell,1.2-shell","virtual-ligand-screening","Protein-ligand interactions,Compound libraries and screening,Cheminformatics","https://github.com/UnixJunkie/consent","Ligand-based virtual screening with consensus queries.","shell","false","false"
"contig-extender","1.0-conda","de-novo-assembly,genome-assembly","Sequence assembly","https://github.com/dengzac/contig-extender","ContigExtender, was developed to extend contigs, complementing de novo assembly. ContigExtender employs a novel recursive Overlap Layout Candidates (r-OLC) strategy that explores multiple extending paths to achieve longer and highly accurate contigs. ContigExtender is effective for extending contigs significantly in in silico synthesized and real metagenomics datasets.","conda","false","false"
"covtobed","1.3.5-conda","sequence-alignment-conversion","Sequence analysis","https://github.com/telatin/covtobed","Convert the coverage track from a BAM file into a BED file","conda","false","false"
"CpGIScan","master-shell","sequence-similarity-search","Biological databases","https://github.com/jianzuoyi/CpGIScan","an ultrafast tool for CpG islands identification from genome sequences","shell","false","false"
"CRISP","0.7-conda","genetic-variation-analysis","Genetics,Genetic variation,Sequencing","https://bansal-lab.github.io/software/crisp.html","Identifies rare and common variants in pooled sequencing data","conda","false","false"
"Cufflinks","2.2.1-conda","standardisation-and-normalisation,rna-seq-read-count-analysis,gene-expression-comparison,aggregation,rna-seq-time-series-data-analysis,sequence-comparison","Transcriptomics,RNA splicing,RNA-Seq","http://cole-trapnell-lab.github.io/cufflinks","Cufflinks assembles transcripts and estimates their abundances in RNA-Seq samples. It accepts aligned RNA-Seq reads and assembles the alignments into a parsimonious set of transcripts. Cufflinks then estimates the relative abundances of these transcripts based on how many reads support each one.","conda","false","false"
"CulebrONT","1.6-Snakemake,1.4-Snakemake","genome-assembly","Model organisms,Workflows,Sequence assembly","https://github.com/SouthGreenPlatform/CulebrONT_pipeline","CulebrONT is a streamlined long reads multi-assembler pipeline for prokaryotic and eukaryotic genomes.","Snakemake","false","false"
"cupcake","28.0.0-conda","data-handling","Transcriptomics","https://github.com/Magdoll/cDNA_Cupcake","Miscellaneous collection of Python and R scripts for processing Iso-Seq data","conda","false","false"
"cutadapt","4.1-conda,4.0-conda,2.8-conda,1.18-conda,1.16-conda,1.13-conda","sequence-trimming","Genomics,Probes and primers,Sequencing","https://pypi.python.org/pypi/cutadapt","Find and remove adapter sequences, primers, poly-A tails and other types of unwanted sequence from your high-throughput sequencing reads.","conda","true","false"
"dada2","1.10-conda","variant-calling","Genetic variation,Metagenomics,Microbial ecology,Sequencing","http://bioconductor.org/packages/release/bioc/html/dada2.html","This package infers exact sequence variants (SVs) from amplicon data, replacing the commonly used and coarser OTU clustering approach. This pipeline inputs demultiplexed fastq files, and outputs the sequence variants and their sample-wise abundances after removing substitution and chimera errors. Taxonomic classification is available via a native implementation of the RDP naive Bayesian classifier.","conda","false","false"
"DAS_Tool","1.1.4-conda,1.1.3-conda","read-binning","Metagenomics","https://github.com/cmks/DAS_Tool","DAS Tool is an automated method that integrates the results of a flexible number of binning algorithms to calculate an optimized, non-redundant set of bins from a single assembly.","conda","false","false"
"GNU Datamash","1.1.0-conda","data-handling","Bioinformatics","https://www.gnu.org/software/datamash/","Performs basic numeric,textual and statistical operations on input textual data files","conda","true","false"
"dbCAN2","3.0.4-shell,2.0.6-shell","deposition,genome-annotation","Carbohydrates,Sequence sites, features and motifs,Metagenomics","http://cys.bios.niu.edu/dbCAN2/","Automated Carbohydrate-active enzyme ANnotation. Three state-of-the-art tools for CAZome (all CAZymes of a genome) annotation: (i) HMMER search against the dbCAN HMM (hidden Markov model) database; (ii) DIAMOND search against the CAZy pre-annotated CAZyme sequence database and (iii) Hotpep search against the conserved CAZyme short peptide database.","shell","false","false"
